parameter,mean,median,stdev
1500_6_512_10.csv,0.04205019266760505,0.042943828654195104,0.008835712714163934
1500_6_128_20.csv,0.042285185596488986,0.04438841782314975,0.008923497923347129
1500_6_128_100.csv,0.044495937228482565,0.04947962832438311,0.009480932518381332
1500_6_512_50.csv,0.04200516096929041,0.04312787939563176,0.008959610732508705
1500_6_256_20.csv,0.04215629889424847,0.044191523722539115,0.008952887033481923
1500_6_64_100.csv,0.04450897630702322,0.048645972726759724,0.009395340264579034
1500_6_64_50.csv,0.04333405494679347,0.04702618098105711,0.009131963787245137
1500_6_256_50.csv,0.04259567278791799,0.04509873644873971,0.009054908798767039
1500_6_512_20.csv,0.04191391676834433,0.042987277702843184,0.0089007137839709
1500_6_128_50.csv,0.04317421102406391,0.04645299003146335,0.009150217937014605
1500_6_64_20.csv,0.04255234593142326,0.04481082412523231,0.008948616227346651
1500_6_64_10.csv,0.04284780707108294,0.04494822307323562,0.008924915679476132
1500_6_256_10.csv,0.042055776191695496,0.043621010589729316,0.00884667562121536
1500_6_512_100.csv,0.04248449570104201,0.04467144154282538,0.009068967214884982
1500_6_256_100.csv,0.0434639960244604,0.04675167562041739,0.009282521046340019
1500_6_128_10.csv,0.04229057094569765,0.04429514626504477,0.00886387533628889
