parameter,mean,median,stdev
1500_6_512_10.csv,0.03348937661335093,0.03366701027338255,0.00944351349067432
1500_6_128_20.csv,0.01422312105149194,0.014437838867917248,0.004796104243513476
1500_6_128_100.csv,0.013158233068950372,0.013563150104789153,0.004654455093920726
1500_6_512_50.csv,0.03346550167249592,0.033638690731579754,0.009432632252389966
1500_6_256_20.csv,0.03352585865671069,0.033704522044180535,0.009454961937828436
1500_6_64_100.csv,0.013468511264894975,0.014051010065830977,0.00471845251764098
1500_6_64_50.csv,0.013571672953566802,0.014159572101452992,0.004716544451614985
1500_6_256_50.csv,0.033503400578430695,0.03368378980186641,0.009448867897352118
1500_6_512_20.csv,0.03346753550559327,0.03363553129166967,0.009438133144828399
1500_6_128_50.csv,0.013421454307680788,0.013751996154258164,0.004871047111664488
1500_6_64_20.csv,0.014565052826994572,0.014878903557068205,0.004814055663526691
1500_6_64_10.csv,0.01663548148628479,0.01710035052522841,0.004401636267024402
1500_6_256_10.csv,0.0334788861138692,0.033652347791652236,0.009439266735087364
1500_6_512_100.csv,0.03349616507587134,0.03367201207713763,0.009445701750365689
1500_6_256_100.csv,0.0334757412155293,0.033648714507700635,0.009436072598630134
1500_6_128_10.csv,0.01622765127133825,0.016613673917862008,0.0042356544196925075
