parameter,mean,median,stdev
500_10_64_20.csv,0.04808658965649477,0.05682686432577805,0.021981234838502468
1000_6_64_20.csv,0.026734291458838256,0.03041711634629099,0.015717908245122543
500_6_64_20.csv,0.048615947667778964,0.05789256439792358,0.024054168910245026
1000_20_64_10.csv,0.026931826002940355,0.030271969963943053,0.0116480661882859
1000_6_64_10.csv,0.026451930867930087,0.030217712081216482,0.015291564279649738
1500_20_64_10.csv,0.018470563104063344,0.02044194600078126,0.008818726127920135
500_20_64_10.csv,0.04821455835243792,0.056577888472321536,0.020775436967128073
1500_10_64_10.csv,0.01854434172653112,0.02026490292284587,0.010434211117523828
1500_10_64_20.csv,0.018886260485550907,0.020549981327454676,0.010622010105600146
500_6_64_10.csv,0.04815025296165435,0.05718069677026457,0.023620042486543934
1000_10_64_20.csv,0.02706145285013569,0.03037096041051645,0.013861872707411217
500_20_64_20.csv,0.04872309315349166,0.056714923695749986,0.02090752990835861
1000_20_64_20.csv,0.02686743820360219,0.030374767744606686,0.012227444005717165
1500_6_64_20.csv,0.018554351074465382,0.020264524457549445,0.012227213222370682
1500_6_64_10.csv,0.01837044119032569,0.020162951244453532,0.012046426682050197
500_10_64_10.csv,0.04864745304898494,0.057393535919739516,0.02190010335606035
1000_10_64_10.csv,0.026559957936420558,0.03008939830193429,0.013694880684994129
