parameter,mean,median,stdev
1500_6_512_10.csv,0.018132152973313928,0.019727885316301257,0.01218965326414987
1500_6_128_20.csv,0.01850820934381088,0.019938485433068684,0.012620913009728023
1500_6_128_100.csv,0.020629815592841626,0.021841795719482505,0.014290744191544321
1500_6_512_50.csv,0.018463172498169103,0.019797512470422995,0.012701951736724278
1500_6_256_20.csv,0.018532789149284256,0.01995471901541123,0.01247858550450016
1500_6_64_100.csv,0.020232809157999382,0.021467817229326655,0.014029276484856057
1500_6_64_50.csv,0.019293636598336116,0.02072995213779774,0.013171672922236232
1500_6_256_50.csv,0.0190100775119318,0.020390943255067084,0.01299397952262292
1500_6_512_20.csv,0.018191230212960954,0.01963822281342724,0.01242979419722667
1500_6_128_50.csv,0.019107127036371165,0.020466552439427882,0.013217516665295775
1500_6_64_20.csv,0.018660032101276626,0.020314942708450946,0.012370329596994155
1500_6_64_10.csv,0.01832522854849415,0.02012940227598897,0.011967572598250133
1500_6_256_10.csv,0.01827665939118705,0.019830113552752285,0.012234812994569471
1500_6_512_100.csv,0.018941219511279868,0.020255329131803557,0.013006753713480906
1500_6_256_100.csv,0.020125674448472998,0.02160707287917652,0.013774641982819942
1500_6_128_10.csv,0.018297166774481344,0.019991029785226763,0.012128492936851348
