parameter,mean,median,stdev
1500_6_512_10.csv,0.03292793646838355,0.02972383915421948,0.02555432704819338
1500_6_128_20.csv,0.036973650000442816,0.03267409089732522,0.029316813106957502
1500_6_128_100.csv,0.04285934908380616,0.04231625946436364,0.03401329792856546
1500_6_512_50.csv,0.03354072870637674,0.0300862448207537,0.026563978614779066
1500_6_256_20.csv,0.03586794953576023,0.03222746635379643,0.028424084290824384
1500_6_64_100.csv,0.04186448712500853,0.0411430056067746,0.03271963343709927
1500_6_64_50.csv,0.03945000655585694,0.03747576897893545,0.031101054479782092
1500_6_256_50.csv,0.03791235738684751,0.03527369732480348,0.03044155774980443
1500_6_512_20.csv,0.033259122479474726,0.03001914350832855,0.02592141496249192
1500_6_128_50.csv,0.0392281621521524,0.03663008991723331,0.031177616158845685
1500_6_64_20.csv,0.03631175442693652,0.03236447688956531,0.02842414220343674
1500_6_64_10.csv,0.03552440334586001,0.03326697679715211,0.026905517950054716
1500_6_256_10.csv,0.034582556900805986,0.030604480444209707,0.027149397728256443
1500_6_512_100.csv,0.03373749878635861,0.02998587778978595,0.026988334790066505
1500_6_256_100.csv,0.03875025560878332,0.03642688143622379,0.030999235975066094
1500_6_128_10.csv,0.035720590401007904,0.03276686149075546,0.027569836801094084
