parameter,mean,median,stdev
500_10_64_20.csv,0.04461411459090363,0.022346244235608576,0.027621389368255637
1000_6_64_20.csv,0.043775085650520594,0.04308013842204307,0.03027804662597853
500_6_64_20.csv,0.05273712592598306,0.048119783313068556,0.02850228553627567
1000_20_64_10.csv,0.014492119323405854,0.010642892881113126,0.015819634262770905
1000_6_64_10.csv,0.04369875999352847,0.0429744958073609,0.029562882190322486
1500_20_64_10.csv,0.010478510032868121,0.007124613301581901,0.014133903808431447
500_20_64_10.csv,0.025366755929759482,0.021408022682174517,0.015300615925399023
1500_10_64_10.csv,0.02910007680822741,0.007713042135368234,0.02751614928601846
1500_10_64_20.csv,0.02851403645631375,0.007591610103515545,0.026920861275115764
500_6_64_10.csv,0.05223405863334607,0.048615835315889214,0.026883922724411206
1000_10_64_20.csv,0.03548912633077529,0.01136818719528816,0.029897384202923954
500_20_64_20.csv,0.02478811041051728,0.020943600932509056,0.015599027452581096
1000_20_64_20.csv,0.013904078385560447,0.010532939035106995,0.014223623783612797
1500_6_64_20.csv,0.03675623753164141,0.03463326830429725,0.02848777801417382
1500_6_64_10.csv,0.03541043517274561,0.03280547374826899,0.026710929362642882
500_10_64_10.csv,0.04575880002253827,0.023058097416410458,0.02853209498111437
1000_10_64_10.csv,0.0354756654223543,0.011823343461207812,0.029766269285206575
