parameter,mean,median,stdev
1500_6_512_10.csv,0.07435784672455975,0.09043364964539818,0.0278255525212546
1500_6_128_20.csv,0.07498379459344469,0.09090707444328439,0.02828110515288617
1500_6_128_100.csv,0.0783452688921951,0.09133040157006607,0.030486018133850747
1500_6_512_50.csv,0.07711047213593096,0.09098056855553746,0.028789766436143106
1500_6_256_20.csv,0.07492086811111859,0.0906303158849573,0.02797647140524721
1500_6_64_100.csv,0.07736420766829212,0.09177971147079893,0.02821330315213073
1500_6_64_50.csv,0.07805295717909008,0.09132415765022,0.03031722187969234
1500_6_256_50.csv,0.07616084992532605,0.09082737738416977,0.027733797451222415
1500_6_512_20.csv,0.07495285655208392,0.09070060047470427,0.027805192352563818
1500_6_128_50.csv,0.07682934787802932,0.0909977838736368,0.028101526286390698
1500_6_64_20.csv,0.07575806049564657,0.09089545861291341,0.028644153457350146
1500_6_64_10.csv,0.0742549068189293,0.09056321198287769,0.028066196572704063
1500_6_256_10.csv,0.07455234464054555,0.09046404752948621,0.02805810808108141
1500_6_512_100.csv,0.07770164478811044,0.09093776459590552,0.03316888851295693
1500_6_256_100.csv,0.07740978661458027,0.09113494496910114,0.027006758644720928
1500_6_128_10.csv,0.07452048696172947,0.0907515472139977,0.028141780406817102
