parameter,mean,median,stdev
500_10_64_20.csv,0.08342481465750115,0.08532913903179226,0.012044603757845768
1000_6_64_20.csv,0.08529316206398428,0.09068295464053455,0.01760040737641061
500_6_64_20.csv,0.08227963895209911,0.08543868182076622,0.014245932892700453
1000_20_64_10.csv,0.08688213478732686,0.08783355414242666,0.011092583115406666
1000_6_64_10.csv,0.08495792846563803,0.09027071323746966,0.017686912451931557
1500_20_64_10.csv,0.08144942972239765,0.08234836635584647,0.011068099675020163
500_20_64_10.csv,0.08335748865199719,0.08453571169373354,0.00987599726127976
1500_10_64_10.csv,0.08035139464129558,0.08179821791625247,0.014177217504429884
1500_10_64_20.csv,0.08138026053301414,0.08303893290103367,0.014276557671263573
500_6_64_10.csv,0.08201890624389663,0.08543952900719527,0.01431031110980217
1000_10_64_20.csv,0.08653933935687777,0.08805178801162403,0.01404215347669681
500_20_64_20.csv,0.08358445770774371,0.08469225982115057,0.009848242190794452
1000_20_64_20.csv,0.08737488995193451,0.08823719918076875,0.011051476840973263
1500_6_64_20.csv,0.07977190550823478,0.08452184843773117,0.01794333125484329
1500_6_64_10.csv,0.07899860041898484,0.08366180716368504,0.017895055356355
500_10_64_10.csv,0.08304812711032619,0.08495101379480968,0.011945796912896966
1000_10_64_10.csv,0.08603354093402658,0.08753445750276392,0.014138089643128062
