parameter,mean,median,stdev
500_10_64_20.csv,0.08299586013472475,0.0920379171582335,0.015847203182025673
1000_6_64_20.csv,0.0815808286432343,0.09816187442365186,0.02777882460283432
500_6_64_20.csv,0.0818571191495708,0.09099879738372726,0.016735895772994402
1000_20_64_10.csv,0.08190718228240042,0.09796556755626032,0.02681363904536928
1000_6_64_10.csv,0.08105611273544065,0.09768591137915786,0.027786387220147757
1500_20_64_10.csv,0.07524189974509338,0.09041425392089183,0.027044106321819496
500_20_64_10.csv,0.08300645580152768,0.0922539671757446,0.01575506824954358
1500_10_64_10.csv,0.0745613619053843,0.09049509531990077,0.027416853133925972
1500_10_64_20.csv,0.07541406487520264,0.09083041917753311,0.027077697661485167
500_6_64_10.csv,0.0813780800190876,0.0909828995766066,0.017248626411622444
1000_10_64_20.csv,0.08205479732577535,0.09814604676261483,0.026938182208622242
500_20_64_20.csv,0.08344756371271755,0.09223357885366107,0.015536510782568166
1000_20_64_20.csv,0.08271037058778419,0.09834675355453605,0.026450603152448363
1500_6_64_20.csv,0.07471720570483457,0.0909172765534039,0.02798680426956975
1500_6_64_10.csv,0.07429945591658338,0.09060095853147118,0.02814473714392247
500_10_64_10.csv,0.08211475969581276,0.09184304306764576,0.016589562625218435
1000_10_64_10.csv,0.081474390891457,0.0976926967545937,0.02682899705383073
