parameter,mean,median,stdev
500_10_64_20.csv,0.043099155415942385,0.04205326411332423,0.010637617133994394
1000_6_64_20.csv,0.021674344494519104,0.022146387125473014,0.0072269443041001035
500_6_64_20.csv,0.04311210787675589,0.0440392995089081,0.01437117761945586
1000_20_64_10.csv,0.028781764396325488,0.02866067993529966,0.0028421918135971887
1000_6_64_10.csv,0.024683943485717032,0.025361304300462933,0.00670004625316821
1500_20_64_10.csv,0.021077088920955108,0.021592755158844727,0.001978677118872046
500_20_64_10.csv,0.06206061987718052,0.06218276388721871,0.005954959957466784
1500_10_64_10.csv,0.016432321051159455,0.016447832219872477,0.0030455109356461434
1500_10_64_20.csv,0.014414957147561903,0.014009438683693986,0.003561751000961316
500_6_64_10.csv,0.04964965214200895,0.05139634253579563,0.013415960878028176
1000_10_64_20.csv,0.021655451252443843,0.021097437613846956,0.005328756197096506
500_20_64_20.csv,0.04892521846785352,0.04891466585942961,0.005584222903992684
1000_20_64_20.csv,0.024128651034278838,0.02425245022640838,0.002828059886751028
1500_6_64_20.csv,0.014349354376634909,0.014717589688287597,0.004788586803703671
1500_6_64_10.csv,0.01662554326937269,0.01699984409346649,0.004427104906266446
500_10_64_10.csv,0.04951507593742805,0.04923157869330892,0.009217076935337853
1000_10_64_10.csv,0.02444430768875062,0.024391426648574844,0.004633158911332963
