parameter,mean,median,stdev
1500_6_512_10.csv,0.07841366113012946,0.0829869004899465,0.01783969964925435
1500_6_128_20.csv,0.0796747033174474,0.08438353116275285,0.0179872926346209
1500_6_128_100.csv,0.08710045528463638,0.0906230273756009,0.020603961397978612
1500_6_512_50.csv,0.08013634248184417,0.08484280030206873,0.017400104353572952
1500_6_256_20.csv,0.08001043851005127,0.08504651222371357,0.018081662066643522
1500_6_64_100.csv,0.08375084979007635,0.0891957971155766,0.01807986346308303
1500_6_64_50.csv,0.08139990682395269,0.0860370329763159,0.017955390767974963
1500_6_256_50.csv,0.08275454179197007,0.08909507874367434,0.018788290754083555
1500_6_512_20.csv,0.0789098375782196,0.0836941037024656,0.017869625685957895
1500_6_128_50.csv,0.08176787318478287,0.08685334160091021,0.01792560787991952
1500_6_64_20.csv,0.07989191190595568,0.08476191465311558,0.01799180236328043
1500_6_64_10.csv,0.07904808592473737,0.08380331620229141,0.017886514338126783
1500_6_256_10.csv,0.0788843785382195,0.08364068942657883,0.01793881470199391
1500_6_512_100.csv,0.08110356976131958,0.08613626492159893,0.01772700652460993
1500_6_256_100.csv,0.08808181970786094,0.09078037337487802,0.0215292052078713
1500_6_128_10.csv,0.07900037187184425,0.08377150368164941,0.017950444538457667
