parameter,mean,median,stdev
500_10_64_20.csv,0.07656806638910622,0.07749100131411561,0.010588161992540647
1000_6_64_20.csv,0.06382945685471829,0.06732140342808958,0.013406826543056813
500_6_64_20.csv,0.07606264769353575,0.07944752340339356,0.012768583527471166
1000_20_64_10.csv,0.06395070652069831,0.0653308983394132,0.009421353203739933
1000_6_64_10.csv,0.06419233524767401,0.06748492465455261,0.013395799276918403
1500_20_64_10.csv,0.04267887639650479,0.043613598165058796,0.006245823837237666
500_20_64_10.csv,0.0768152163717339,0.07799467312173791,0.008796321398640143
1500_10_64_10.csv,0.042810435349419404,0.043523936466085614,0.007366401962122276
1500_10_64_20.csv,0.0425942248910721,0.043192844276498006,0.00743246957682034
500_6_64_10.csv,0.0767274736509279,0.07935422823576431,0.012649941305259652
1000_10_64_20.csv,0.06384220978871637,0.0649152600026695,0.011086268294483203
500_20_64_20.csv,0.07623825794244345,0.07769461901866888,0.008978852031671467
1000_20_64_20.csv,0.06395273131172168,0.0652044926165053,0.0095525069625131
1500_6_64_20.csv,0.042490395992680834,0.044691005392828276,0.008919547108264217
1500_6_64_10.csv,0.04280782857456382,0.04465767214999905,0.008888396894122665
500_10_64_10.csv,0.07668682803546467,0.07762546314250167,0.010493444103140187
1000_10_64_10.csv,0.06426021954925883,0.06536720532527969,0.011040552395641076
