parameter,mean,median,stdev
1500_6_512_10.csv,0.027234581861943375,0.029187650127008326,0.004265752571385357
1500_6_128_20.csv,0.002083710931797792,0.0019525721157230898,0.0003740248718951816
1500_6_128_100.csv,0.0016187852948266112,0.0015841669824102698,0.00019006232503667182
1500_6_512_50.csv,0.027240020434532688,0.029202548248834358,0.0042643332147018495
1500_6_256_20.csv,0.02723383378680721,0.029191882574412128,0.0042650978529483515
1500_6_64_100.csv,0.001604666193502741,0.0015835069548436795,0.00021816119839345705
1500_6_64_50.csv,0.0019053026534750872,0.0018765079842007386,0.0002656427037053914
1500_6_256_50.csv,0.027202812119523165,0.02915439593185367,0.00425421381871111
1500_6_512_20.csv,0.027227050045427012,0.02917805716400871,0.004256539838215772
1500_6_128_50.csv,0.0019117345029899349,0.0019184519142690618,0.0002738667143756854
1500_6_64_20.csv,0.002200865726329457,0.0019586730747801605,0.0005054509378753524
1500_6_64_10.csv,0.003714836742496499,0.002530039661540876,0.002800499956718144
1500_6_256_10.csv,0.027233006282062468,0.029185261246646613,0.00426255797340291
1500_6_512_100.csv,0.027257344664588786,0.02921868907561835,0.004270769086859645
1500_6_256_100.csv,0.02723573723609349,0.029194820525038797,0.004264542579199255
1500_6_128_10.csv,0.003622553631346091,0.0023465456754719577,0.003111392150510387
